AID: 5459, Title: .hack//G.U. Trilogy
AID: 17673, Title: Bartender: Glass of God
AID: 2436, Title: Basilisk
AID: 13291, Title: Basilisk: The Ouka Ninja Scrolls
AID: 10, Title: Bastard!!
AID: 17175, Title: Bastard!! Heavy Metal, Dark Fantasy
AID: 17812, Title: Bastard!! Heavy Metal, Dark Fantasy: Hell`s Requiem Arc
AID: 5611, Title: Batman: Gotham Knight
AID: 147, Title: Battle Angel
AID: 1293, Title: Battle Arena Toshinden
AID: 848, Title: Battle Athletes
AID: 504, Title: Battle Athletes Victory
AID: 15612, Title: Battle Athletes Victory Restart!
AID: 1372, Title: Battle B-Daman
AID: 2545, Title: Battle Can-Can
AID: 15848, Title: Battle Game in 5 Seconds
AID: 12080, Title: Battle Girl High School
AID: 8254, Title: Battle Girls: Time Paradox
AID: 1462, Title: Battle Royal High School
AID: 554, Title: Battle Skipper
AID: 1399, Title: Battle Team Lakers EX
AID: 14309, Title: BattleClaw
AID: 5150, Title: Bavel`s Book
AID: 10114, Title: Bayonetta: Bloody Fate
AID: 2239, Title: Be Forever Yamato
AID: 17141, Title: Be Forever Yamato: Rebel 3199
AID: 4205, Title: Be Lifesized My Lover - Mechanic Minami vs. Human Minami
AID: 13372, Title: Be Vague
AID: 1082, Title: Beast City
AID: 709, Title: Beast Fighter
AID: 3507, Title: Beast King Golion
AID: 17444, Title: Beast Tamer
AID: 309, Title: Beat Angel Escalayer
AID: 13500, Title: Beatless
AID: 11104, Title: Beautiful Bones: Sakurako`s Investigation
AID: 16516, Title: Beauty Water
AID: 7978, Title: Because I Don`t Like My Big Brother at All!
AID: 2320, Title: Beck: Mongolian Chop Squad
AID: 7934, Title: Beelzebub
AID: 2391, Title: Beet the Vandel Buster
AID: 3703, Title: Beet the Vandel Buster Excellion
AID: 11536, Title: Beginning of Fashion
AID: 776, Title: Behind Closed Doors
AID: 2739, Title: Belfy and Lillabit
AID: 3289, Title: Belladonna of Sadness
AID: 15924, Title: Belle
AID: 3305, Title: Belle and Sebastian
AID: 14664, Title: Bem
AID: 8292, Title: Ben-To
AID: 13912, Title: Bermuda Triangle: Colorful Pastorale
AID: 98, Title: Berserk
AID: 11851, Title: Berserk (2016)
AID: 12414, Title: Berserk (Season 2)
AID: 17687, Title: Berserk of Gluttony
AID: 7991, Title: Berserk: The Golden Age Arc
AID: 2964, Title: Best Student Council
AID: 595, Title: Beyblade
AID: 12809, Title: Beyblade Burst Evolution
AID: 13791, Title: Beyblade Burst Turbo
AID: 594, Title: Beyblade G Revolution
AID: 1964, Title: Beyblade V Force
AID: 4016, Title: Beyblade the Movie: Decisive Battle! Takao VS Daichi
AID: 8298, Title: Beyblade: Metal Fury
AID: 6426, Title: Beyblade: Metal Fusion
AID: 7426, Title: Beyblade: Metal Masters
AID: 9048, Title: Beyblade: Shogun Steel
AID: 9518, Title: Beyond the Boundary
AID: 10726, Title: Beyond the Boundary: I`ll Be Here
AID: 528, Title: Bible Black
AID: 3430, Title: Bible Black Only
AID: 829, Title: Bible Black Origins
AID: 1693, Title: Bible Black: New Testament
AID: 17157, Title: Bibliophile Princess
AID: 8156, Title: Big Fish & Begonia
AID: 11724, Title: Big Order
AID: 1464, Title: Big Wars
AID: 4923, Title: Big Windup!
AID: 7291, Title: Big Windup! The Summer Tournament
AID: 11251, Title: Bikini Warriors
AID: 914, Title: BioHunter
AID: 16940, Title: Birdie Wing: Golf Girls` Story
AID: 17481, Title: Birdie Wing: Golf Girls` Story (2023)
AID: 1945, Title: Birdy the Mighty
AID: 7013, Title: Birdy the Mighty Decode: The Cipher
AID: 5722, Title: Birdy the Mighty: Decode
AID: 6120, Title: Birdy the Mighty: Decode (2)
AID: 11317, Title: Birth of Kitarou
AID: 2640, Title: Birth: A War of Two Worlds
AID: 2779, Title: Bite Me! Chameleon
AID: 4416, Title: Black Blood Brothers
AID: 10181, Title: Black Bullet
AID: 6048, Title: Black Butler
AID: 7369, Title: Black Butler II
AID: 10402, Title: Black Butler: Book of Circus
AID: 10548, Title: Black Butler: Book of Murder
AID: 11696, Title: Black Butler: Book of the Atlantic
AID: 18100, Title: Black Butler: Public School Arc
AID: 3321, Title: Black Cat
AID: 12692, Title: Black Cat Detective
AID: 12665, Title: Black Clover
AID: 16176, Title: Black Clover: Sword of the Wizard King
AID: 2254, Title: Black Gate
AID: 2544, Title: Black Jack
AID: 2389, Title: Black Jack TV
AID: 686, Title: Black Jack: The Movie
AID: 3395, Title: Black Lagoon
AID: 6645, Title: Black Lagoon: Roberta`s Blood Trail
AID: 4597, Title: Black Lagoon: The Second Barrage
AID: 2613, Title: Black Lion
AID: 578, Title: Black Magic M-66
AID: 13008, Title: Black Pupil
AID: 8584, Title: Black Rock Shooter
AID: 17204, Title: Black Summoner
AID: 1598, Title: Black Widow
AID: 13924, Title: Blackfox
AID: 10432, Title: Blade & Soul
AID: 9999, Title: Blade Dance of Elementalers
AID: 14511, Title: Blade Runner: Black Lotus
AID: 13436, Title: Blade Runner: Black Out 2022
AID: 5679, Title: Blade of the Immortal
AID: 14912, Title: Blade of the Immortal (2019)
AID: 2190, Title: Blade of the Phantom Master
AID: 1050, Title: Blame!
AID: 5531, Title: Blassreiter
AID: 9214, Title: Blast of Tempest
AID: 9893, Title: BlazBlue: Alter Memory
AID: 2369, Title: Bleach
AID: 5352, Title: Bleach the Movie 2: The Diamond Dust Rebellion
AID: 6041, Title: Bleach the Movie 3: Fade to Black
AID: 7666, Title: Bleach the Movie 4: Hell Verse
AID: 4515, Title: Bleach the Movie: Memories of Nobody
AID: 15449, Title: Bleach: Thousand-Year Blood War
AID: 18220, Title: Bleach: Thousand-Year Blood War - The Conflict
AID: 17765, Title: Bleach: Thousand-Year Blood War - The Separation
AID: 12694, Title: Blend-S
AID: 7280, Title: Blessing of the Campanella
AID: 8243, Title: Blessing of the Campanella (2011)
AID: 2021, Title: Blocker Corps
AID: 10663, Title: Blood Blockade Battlefront
AID: 12571, Title: Blood Blockade Battlefront & Beyond
AID: 8929, Title: Blood Lad
AID: 9803, Title: Blood Lad: I Am Not a Cat
AID: 347, Title: Blood Reign: Curse of the Yoma
AID: 1599, Title: Blood Royale
AID: 1345, Title: Blood Shadow
AID: 17714, Title: Blood and Heart: The Legendary Life of a Japanese Youth in China
AID: 3186, Title: Blood+
AID: 8375, Title: Blood-C: The Last Dark
AID: 43, Title: Blood: The Last Vampire
AID: 12372, Title: Bloodivores
AID: 14053, Title: Bloom into You
AID: 2820, Title: Bludgeoning Angel Dokuro-chan
AID: 5089, Title: Bludgeoning Angel Dokuro-chan 2
AID: 2559, Title: Blue Blink
AID: 15069, Title: Blue Cat
AID: 5044, Title: Blue Dragon
AID: 5869, Title: Blue Dragon: Trials of the Seven Shadows
AID: 5383, Title: Blue Drop
AID: 8148, Title: Blue Exorcist
AID: 12240, Title: Blue Exorcist: Kyoto Saga
AID: 17786, Title: Blue Exorcist: Shimane Illuminati Saga
